variety,open_date,close_date,open_price,close_price,usdt_amount,direct,profit,msg
BTC-TUSD,2023-05-05 19:43:46,2023-05-06 11:28:50,29444.25813,29464.59000,150.04,sell,-0.103,平空仓
BTC-TUSD,2023-05-06 21:00:43,2023-05-07 09:22:23,28739.10698,29039.49000,29.89,buy,0.312,平多仓
合计盈利：0.21
