variety,open_date,close_date,open_price,close_price,usdt_amount,direct,profit,msg
BTC-USDT,2023-05-07 10:00:40,2023-05-07 10:16:18,28921.42742,28890.00000,25.00,sell,0.027,平空仓
BTC-USDT,2023-05-07 10:16:20,2023-05-07 10:20:05,28858.54637,28876.91000,50.00,buy,0.032,平多仓
BTC-USDT,2023-05-07 10:20:07,2023-05-07 10:35:25,28905.34309,28875.27000,25.00,sell,0.025,平空仓
BTC-USDT,2023-05-07 10:35:27,2023-05-07 12:17:23,28815.95251,28853.27000,50.00,buy,0.064,平多仓
BTC-USDT,2023-05-07 12:17:25,2023-05-07 12:33:08,28767.57411,28797.34000,25.00,buy,0.026,平多仓
合计盈利：0.17
